,Runs_scored,Minutes_at_crease,Balls_Faced,Number_of_4s,Number_of_6s,Strike_rate,Position,Dismissal,Innings,Opposition,Ground,Start_date,Odi_number,status,Year,Month
258,18,42,30,3,0,60.00,3,caught,1,v West Indies,Ahmedabad,2022-02-09,ODI # 4355,Out,2022,2
259,0,2,2,0,0,0.00,3,caught,1,v West Indies,Ahmedabad,2022-02-11,ODI # 4356,Out,2022,2
260,16,39,25,3,0,64.00,3,caught,2,v England,Lord's,2022-07-14,ODI # 4428,Out,2022,7
261,17,27,22,3,0,77.27,3,caught,2,v England,Manchester,2022-07-17,ODI # 4433,Out,2022,7
262,9,22,15,1,0,60.00,3,caught,1,v Bangladesh,Mirpur,2022-12-04,ODI # 4493,Out,2022,12
263,5,9,6,1,0,83.33,1,bowled,2,v Bangladesh,Mirpur,2022-12-07,ODI # 4496,Out,2022,12
264,113,174,91,11,2,124.17,3,caught,1,v Bangladesh,Chattogram,2022-12-10,ODI # 4499,Out,2022,12
265,113,117,87,12,1,129.88,3,caught,1,v Sri Lanka,Guwahati,2023-01-10,ODI # 4501,Out,2023,1
266,4,27,9,1,0,44.44,3,bowled,2,v Sri Lanka,Eden Gardens,2023-01-12,ODI # 4503,Out,2023,1
267,166,173,110,13,8,150.90,3,not out,1,v Sri Lanka,Thiruvananthapuram,2023-01-15,ODI # 4505,Not_out,2023,1
268,8,16,10,1,0,80.00,3,bowled,1,v New Zealand,Hyderabad,2023-01-18,ODI # 4507,Out,2023,1
269,11,19,9,2,0,122.22,3,stumped,2,v New Zealand,Raipur,2023-01-21,ODI # 4509,Out,2023,1
270,36,44,27,3,1,133.33,3,caught,1,v New Zealand,Indore,2023-01-24,ODI # 4511,Out,2023,1
271,4,15,9,1,0,44.44,3,lbw,2,v Australia,Wankhede,2023-03-17,ODI # 4538,Out,2023,3
272,31,79,35,4,0,88.57,3,lbw,1,v Australia,Visakhapatnam,2023-03-19,ODI # 4541,Out,2023,3
273,54,118,72,2,1,75.00,3,caught,2,v Australia,Chennai,2023-03-22,ODI # 4545,Out,2023,3
275,4,8,7,1,0,57.14,3,bowled,1,v Pakistan,Pallekele,2023-09-02,ODI # 4630,Out,2023,9
277,122,147,94,9,3,129.78,3,not out,1,v Pakistan,Colombo (RPS),2023-09-10,ODI # 4639,Not_out,2023,9
278,3,12,12,0,0,25.00,3,caught,1,v Sri Lanka,Colombo (RPS),2023-09-12,ODI # 4641,Out,2023,9
280,56,63,61,5,1,91.80,3,caught,2,v Australia,Rajkot,2023-09-27,ODI # 4657,Out,2023,9
281,85,171,116,6,0,73.27,3,caught,2,v Australia,Chennai,2023-10-08,ODI # 4662,Out,2023,10
282,55,64,56,6,0,98.21,3,not out,2,v Afghanistan,Delhi,2023-10-11,ODI # 4666,Not_out,2023,10
283,16,31,18,3,0,88.88,3,caught,2,v Pakistan,Ahmedabad,2023-10-14,ODI # 4669,Out,2023,10
284,103,113,97,6,4,106.18,3,not out,2,v Bangladesh,Pune,2023-10-19,ODI # 4674,Not_out,2023,10
285,95,154,104,8,2,91.34,3,caught,2,v New Zealand,Dharamsala,2023-10-22,ODI # 4678,Out,2023,10
286,0,12,9,0,0,0.00,3,caught,1,v England,Lucknow,2023-10-29,ODI # 4686,Out,2023,10
287,88,139,94,11,0,93.61,3,caught,1,v Sri Lanka,Wankhede,2023-11-02,ODI # 4690,Out,2023,11
288,101,195,121,10,0,83.47,3,not out,1,v South Africa,Eden Gardens,2023-11-05,ODI # 4694,Not_out,2023,11
289,51,69,56,5,1,91.07,3,bowled,1,v Netherlands,Bengaluru,2023-11-12,ODI # 4702,Out,2023,11
290,117,149,113,9,2,103.53,3,caught,1,v New Zealand,Wankhede,2023-11-15,ODI # 4703,Out,2023,11
291,54,99,63,4,0,85.71,3,bowled,1,v Australia,Ahmedabad,2023-11-19,ODI # 4705,Out,2023,11
