,Runs_scored,Minutes_at_crease,Balls_Faced,Number_of_4s,Number_of_6s,Strike_rate,Position,Dismissal,Innings,Opposition,Ground,Start_date,Odi_number,status,Year,Month
149,8,26,19,0,0,42.10,3,caught,1,v England,Perth,2015-01-30,ODI # 3595,Out,2015,1
150,107,168,126,8,0,84.92,3,caught,1,v Pakistan,Adelaide,2015-02-15,ODI # 3602,Out,2015,2
151,46,106,60,3,0,76.66,3,caught,1,v South Africa,Melbourne,2015-02-22,ODI # 3610,Out,2015,2
152,33,49,41,5,0,80.48,3,not out,2,v U.A.E.,Perth,2015-02-28,ODI # 3618,Not_out,2015,2
153,33,51,36,5,0,91.66,3,caught,2,v West Indies,Perth,2015-03-06,ODI # 3625,Out,2015,3
154,44,64,42,4,1,104.76,3,not out,2,v Ireland,Hamilton,2015-03-10,ODI # 3631,Not_out,2015,3
155,38,71,48,4,0,79.16,3,bowled,2,v Zimbabwe,Auckland,2015-03-14,ODI # 3636,Out,2015,3
156,3,6,8,0,0,37.50,3,caught,1,v Bangladesh,Melbourne,2015-03-19,ODI # 3641,Out,2015,3
157,1,11,13,0,0,7.69,3,caught,2,v Australia,Sydney,2015-03-26,ODI # 3645,Out,2015,3
158,1,9,4,0,0,25.00,3,caught,2,v Bangladesh,Mirpur,2015-06-18,ODI # 3658,Out,2015,6
159,23,57,27,3,1,85.18,3,lbw,1,v Bangladesh,Mirpur,2015-06-21,ODI # 3660,Out,2015,6
160,25,55,35,1,0,71.42,3,bowled,1,v Bangladesh,Mirpur,2015-06-24,ODI # 3661,Out,2015,6
161,11,29,18,0,0,61.11,4,caught,2,v South Africa,Kanpur,2015-10-11,ODI # 3689,Out,2015,10
162,12,24,18,0,0,66.66,4,run out,1,v South Africa,Indore,2015-10-14,ODI # 3692,Out,2015,10
163,77,155,99,5,0,77.77,3,caught,2,v South Africa,Rajkot,2015-10-18,ODI # 3695,Out,2015,10
164,138,202,140,6,5,98.57,3,caught,1,v South Africa,Chennai,2015-10-22,ODI # 3698,Out,2015,10
165,7,11,6,0,1,116.66,3,caught,2,v South Africa,Wankhede,2015-10-25,ODI # 3700,Out,2015,10
166,91,148,97,9,1,93.81,3,caught,1,v Australia,Perth,2016-01-12,ODI # 3723,Out,2016,1
167,59,84,67,4,0,88.05,3,run out,1,v Australia,Brisbane,2016-01-15,ODI # 3724,Out,2016,1
168,117,174,117,7,2,100.00,3,caught,1,v Australia,Melbourne,2016-01-17,ODI # 3725,Out,2016,1
169,106,131,92,11,1,115.21,3,caught,2,v Australia,Canberra,2016-01-20,ODI # 3726,Out,2016,1
170,8,11,11,1,0,72.72,3,caught,2,v Australia,Sydney,2016-01-23,ODI # 3727,Out,2016,1
171,85,109,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala,2016-10-16,ODI # 3796,Not_out,2016,10
172,9,18,13,1,0,69.23,3,caught,2,v New Zealand,Delhi,2016-10-20,ODI # 3797,Out,2016,10
173,154,202,134,16,1,114.92,3,not out,2,v New Zealand,Mohali,2016-10-23,ODI # 3798,Not_out,2016,10
174,45,64,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi,2016-10-26,ODI # 3799,Out,2016,10
175,65,152,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam,2016-10-29,ODI # 3800,Out,2016,10
176,122,147,105,8,5,116.19,3,caught,2,v England,Pune,2017-01-15,ODI # 3819,Out,2017,1
177,8,6,5,2,0,160.00,3,caught,1,v England,Cuttack,2017-01-19,ODI # 3821,Out,2017,1
178,55,81,63,8,0,87.30,3,caught,2,v England,Eden Gardens,2017-01-22,ODI # 3824,Out,2017,1
179,81,108,68,6,3,119.11,3,not out,1,v Pakistan,Birmingham,2017-06-04,ODI # 3878,Not_out,2017,6
180,0,5,5,0,0,0.00,3,caught,1,v Sri Lanka,The Oval,2017-06-08,ODI # 3882,Out,2017,6
181,76,136,101,7,1,75.24,3,not out,2,v South Africa,The Oval,2017-06-11,ODI # 3886,Not_out,2017,6
182,96,96,78,13,0,123.07,3,not out,2,v Bangladesh,Birmingham,2017-06-15,ODI # 3891,Not_out,2017,6
183,5,11,9,0,0,55.55,3,caught,2,v Pakistan,The Oval,2017-06-18,ODI # 3894,Out,2017,6
184,32,-,47,1,0,68.08,3,not out,1,v West Indies,Port of Spain,2017-06-23,ODI # 3895,Not_out,2017,6
185,87,-,66,4,4,131.81,3,caught,1,v West Indies,Port of Spain,2017-06-25,ODI # 3896,Out,2017,6
186,11,-,22,2,0,50.00,3,caught,1,v West Indies,North Sound,2017-06-30,ODI # 3898,Out,2017,6
187,3,-,12,0,0,25.00,3,caught,2,v West Indies,North Sound,2017-07-02,ODI # 3900,Out,2017,7
188,111,-,115,12,2,96.52,3,not out,2,v West Indies,Kingston,2017-07-06,ODI # 3902,Not_out,2017,7
189,82,-,70,10,1,117.14,3,not out,2,v Sri Lanka,Dambulla,2017-08-20,ODI # 3905,Not_out,2017,8
190,4,-,2,1,0,200.00,5,bowled,2,v Sri Lanka,Pallekele,2017-08-24,ODI # 3906,Out,2017,8
191,3,-,11,0,0,27.27,3,caught,2,v Sri Lanka,Pallekele,2017-08-27,ODI # 3907,Out,2017,8
192,131,-,96,17,2,136.45,3,caught,1,v Sri Lanka,Colombo (RPS),2017-08-31,ODI # 3908,Out,2017,8
193,110,-,116,9,0,94.82,3,not out,2,v Sri Lanka,Colombo (RPS),2017-09-03,ODI # 3909,Not_out,2017,9
194,0,7,4,0,0,0.00,3,caught,1,v Australia,Chennai,2017-09-17,ODI # 3910,Out,2017,9
195,92,148,107,8,0,85.98,3,bowled,1,v Australia,Eden Gardens,2017-09-21,ODI # 3912,Out,2017,9
196,28,58,35,2,0,80.00,3,caught,2,v Australia,Indore,2017-09-24,ODI # 3914,Out,2017,9
197,21,23,21,3,0,100.00,3,bowled,2,v Australia,Bengaluru,2017-09-28,ODI # 3917,Out,2017,9
198,39,73,55,2,0,70.90,3,caught,2,v Australia,Nagpur,2017-10-01,ODI # 3919,Out,2017,10
199,121,203,125,9,2,96.80,3,caught,1,v New Zealand,Wankhede,2017-10-22,ODI # 3928,Out,2017,10
200,29,40,29,3,1,100.00,3,caught,2,v New Zealand,Pune,2017-10-25,ODI # 3931,Out,2017,10
201,113,166,106,9,1,106.60,3,caught,1,v New Zealand,Kanpur,2017-10-29,ODI # 3932,Out,2017,10
202,112,164,119,10,0,94.11,3,caught,2,v South Africa,Durban,2018-02-01,ODI # 3969,Out,2018,2
203,46,64,50,4,1,92.00,3,not out,2,v South Africa,Centurion,2018-02-04,ODI # 3970,Not_out,2018,2
